sensor,stl_max,stl_7,stl_30,stl_365,acf_7,acf_30,acf_365,acf_max,fourier_7,fourier_30,fourier_365,fourier_full,ls_7,ls_30,ls_365,confidence_strict,confidence_exploratory,composite_score
sensor_34,0.9397356217084486,0.22622925575440395,0.27853477504766605,0.9397356217084486,0.9505982098556842,0.8662785041303283,0.592504931948069,0.9505982098556842,0.004340612259824184,0.010291457865115983,0.7006530543081164,0.7140464477314257,0.0,0.0,0.6869796943033756,High,High,0.9671001494692398
sensor_15,0.9409061531460226,0.3204761866073117,0.15514036820431534,0.9409061531460226,0.9370120545719671,0.8419951759960331,0.5491989749552041,0.9370120545719671,0.012369015793340599,6.242923360333386e-05,0.6033225777000596,0.6157229372542743,0.0,0.0,0.5901656815011915,High,High,0.963375462315397
sensor_13,0.9253543966398771,0.47536817342805515,0.4017124095376468,0.9253543966398771,0.9314667261399211,0.8545011918900749,0.6750909585363439,0.9314667261399211,0.020296676600043306,0.02722136096644423,0.8464990407763542,0.8933140302352907,0.020268310822937674,0.027117865455457482,0.8406009012579542,High,High,0.9570463368339394
sensor_11,0.9022597197122916,0.41436356714500766,0.8005409362552253,0.9022597197122916,0.923528945054794,0.8889056686075032,0.5845232601259764,0.923528945054794,0.008827855061333656,0.11241115975801752,0.6251876695684152,0.7458259152113158,0.0,0.111173932537333,0.6064160240807416,High,High,0.9477365994301257
sensor_32,0.9308947724366862,0.03546278736383766,0.883658454811077,0.9308947724366862,0.886079250123844,0.837092099188065,0.6963318930301294,0.886079250123844,0.00033743654412077273,0.23356857860966518,0.7131244811261782,0.9427944675038527,0.0,0.2317556415332296,0.6967624448347164,High,High,0.9450922067681591
sensor_23,0.9155684983175648,0.12112098211841407,0.9155684983175648,0.8557250801630274,0.753387396450738,0.8843988429265361,0.6042327644198314,0.8843988429265361,0.0016190982957623445,0.6161021425464893,0.23485489267852744,0.8468005683459083,0.0,0.610572097357843,0.23156879429814292,High,High,0.9399902023732303
sensor_31,0.8949894215636628,0.2613293768740727,0.30666017115064415,0.8949894215636628,0.8902363385306593,0.8150312304773878,0.5329821793790245,0.8902363385306593,0.013317204194977839,0.021136914057770073,0.5755507414461607,0.6080634336719208,0.0,0.020861476825101227,0.5667454837854602,High,High,0.9355677280282967
sensor_6,0.8579276108987454,0.1019310985334081,0.8339443289208837,0.8579276108987454,0.920016473148896,0.8630630156693342,0.5248955008460886,0.920016473148896,0.00010457985549283677,0.14259449476582697,0.44052221586877827,0.5790822812043671,0.0,0.14372260523489422,0.4293781922095931,High,High,0.9333832252142924
sensor_37,0.878737354895051,0.4454951362830573,0.878737354895051,0.7746764365126517,0.8150447561284219,0.8951067942415919,0.4028463485651463,0.8951067942415919,0.015215747586435624,0.3601350011674007,0.003001550330862912,0.3777832347184341,0.0,0.3574620121567329,0.0,High,High,0.9321532447409929
sensor_19,0.8734954737093859,0.3856207422070285,0.5484266077798419,0.8734954737093859,0.8862799570542925,0.8501395737281303,0.5255145400960185,0.8862799570542925,0.01812540916732741,0.06497531572349169,0.5132009212375395,0.5943334330631879,0.01817455826641109,0.06504719939004494,0.49570377998169474,High,High,0.9279326292291036
sensor_35,0.8869680314112071,0.31798563518478534,0.4523481816375635,0.8869680314112071,0.8716007827417921,0.8121763653713802,0.46956977550479784,0.8716007827417921,0.016937643545752556,0.05376099286493763,0.46394839660042064,0.5326870915851128,0.0,0.05367144855235796,0.4534599531490828,High,High,0.9275706442458997
sensor_21,0.9076333054555933,0.3624980759931664,0.8552488981547112,0.9076333054555933,0.8141405992797098,0.8416724019945533,0.6712075390892925,0.8416724019945533,0.013514411425666228,0.35116596611874673,0.5749622278662226,0.9365435303154119,0.0,0.34903636746791544,0.5680720189911032,High,High,0.924791712235044
sensor_36,0.8860354021441376,0.3796673871526572,0.2740382175802102,0.8860354021441376,0.8470936634990092,0.7743535305598367,0.5956117272371008,0.8470936634990092,0.03353402974598163,0.0268713700324531,0.7391805566231993,0.7989554165954376,0.03333464700267241,0.02751671669877598,0.7324127278277781,High,High,0.9199387196929439
sensor_33,0.8955879998731126,0.22908776770698014,0.818324290356735,0.8955879998731126,0.803392270893052,0.8320018994452938,0.6563463430019547,0.8320018994452938,0.01195262470288605,0.32263688817966907,0.5797637774448859,0.9146815362836772,0.0,0.32088650435479776,0.5684620493940075,High,High,0.9182769697955219
sensor_3,0.8898533039115926,0.3693354862878588,0.26563441730956655,0.8898533039115926,0.8363515952155858,0.7509016981411767,0.5797813246615143,0.8363515952155858,0.03027830475992732,0.028128183566430542,0.6874904445938043,0.7457894310471457,0.03076478206729068,0.027699521945864017,0.6709096662305482,High,High,0.9178614697381534
sensor_38,0.8372580637108277,0.7103918310533753,0.22339868920761066,0.8372580637108277,0.888530788395095,0.8154963757464306,0.5621389232704509,0.888530788395095,0.10043427139052796,0.031928693958972354,0.566250946510455,0.6974507669379739,0.10013802310053238,0.031976936816439545,0.5499727827864515,High,High,0.9177366556317769
sensor_20,0.872069330174261,0.09761307983676235,0.872069330174261,0.8241253443204988,0.7138922430729399,0.8492061593868634,0.5888224357110365,0.8492061593868634,0.002630363648234768,0.6677589597128125,0.1522915066986965,0.8213733999916477,0.0,0.6631799204046452,0.1527637200048904,High,High,0.9163826468683373
sensor_28,0.8749525836183795,0.36461461264246703,0.5508156652376592,0.8749525836183795,0.8401173657639402,0.8093978780354788,0.4961964206175546,0.8401173657639402,0.024978795026103007,0.10168849955031245,0.5025045050977631,0.6263208963337548,0.024990895124072286,0.1008696234550437,0.4914826438910065,High,High,0.9145209848146959
sensor_39,0.8888338238456721,0.35038723663865284,0.8064220723627519,0.8888338238456721,0.8250626324673125,0.8230649504109977,0.6243995608263332,0.8250626324673125,0.0138830785617019,0.29506052876659583,0.5761029600282539,0.8781568204341398,0.0,0.2917410411701038,0.5655738289175329,High,High,0.9141689368938953
sensor_18,0.8475657671560021,0.5911633033487126,0.7849489255082909,0.8475657671560021,0.8548883586406768,0.8580212046056945,0.5748838123488225,0.8580212046056945,0.02518138420265914,0.17952963265364863,0.5072954556274967,0.7103427253697775,0.025031780318782466,0.17924698286927257,0.5052185785009157,High,High,0.911676091528509
sensor_29,0.8689726758414282,0.36688542144468883,0.8689726758414282,0.81316285301397,0.7115202116677771,0.8327947709600646,0.5927281856052695,0.8327947709600646,0.020205930807154937,0.5992468193184695,0.20655930219538043,0.8218335790638998,0.020204408928323574,0.5938327155455672,0.20298460727901607,High,High,0.9105302340404479
